model,feature_set,accuracy,f1_macro,f1_weighted,precision_LOW,recall_LOW,f1_LOW,precision_MEDIUM,recall_MEDIUM,f1_MEDIUM,precision_HIGH,recall_HIGH,f1_HIGH,roc_auc_ovr
Logistic Regression,operational,0.569,0.4814,0.528,0.7343,0.1592,0.2617,0.5683,0.8082,0.6674,0.5323,0.4989,0.5151,0.7308
Random Forest,operational,0.5782,0.5256,0.5574,0.7019,0.247,0.3654,0.5938,0.7242,0.6525,0.5103,0.6173,0.5587,0.738
XGBoost,operational,0.5763,0.534,0.5615,0.6673,0.2861,0.4005,0.5978,0.6967,0.6434,0.5038,0.6255,0.5581,0.7363
Logistic Regression,vendor,0.9471,0.9471,0.9471,0.9242,0.9245,0.9243,0.9458,0.9489,0.9473,0.973,0.9663,0.9696,0.9956
Random Forest,vendor,0.9453,0.9451,0.9453,0.9324,0.9139,0.923,0.9351,0.9574,0.9461,0.9803,0.9526,0.9662,0.9872
XGBoost,vendor,0.9473,0.9474,0.9473,0.925,0.9245,0.9247,0.9471,0.9479,0.9475,0.9704,0.9693,0.9698,0.9956
