z,holding_cost,stockout_cost,total_cost,stockout_rate,lost_units,leftover_units,mean_inventory,mean_demand,fill_rate
0.25,305900.07,3231091.96,3536992.04,0.4193,129782.45,234859.65,138.41,136.61,0.9837
0.52,310178.24,2168441.35,2478619.59,0.3355,87107.63,305229.57,140.34,136.61,0.9891
0.84,315248.67,1205234.53,1520483.2,0.2433,48478.55,400579.44,142.64,136.61,0.9939
1.04,318417.68,757667.96,1076085.64,0.1869,30485.44,466323.18,144.07,136.61,0.9962
1.28,322220.5,370954.37,693174.86,0.1234,14931.89,551253.85,145.79,136.61,0.9981
1.65,328083.17,62242.11,390325.28,0.0402,2522.29,693757.4,148.45,136.61,0.9997
1.96,332995.14,3145.19,336140.34,0.0039,125.27,821152.49,150.67,136.61,1.0
2.33,338857.82,0.0,338857.82,0.0,0.0,975940.38,153.32,136.61,1.0
