feature,importance,model,feature_set
Store ID_S004,0.37129604401099786,Ridge,operational
Seasonality_Autumn,0.3485401201277156,Ridge,operational
Region_North,0.342377240909455,Ridge,operational
Store ID_S003,0.3262403454839625,Ridge,operational
Category_Clothing,0.32244451576388594,Ridge,operational
day_of_week,0.2927485512484616,Ridge,operational
Product ID_P0009,0.24597446003878598,Ridge,operational
Region_South,0.2454880150774408,Ridge,operational
Store ID_S002,0.23496678366125182,Ridge,operational
Region_East,0.2193953905100661,Ridge,operational
lag_1_sales,0.213994779364469,Ridge,operational
month_sin,0.2134424436918983,Ridge,operational
inventory_to_ma7,0.20608738845161217,Ridge,operational
Product ID_P0002,0.1886738398217182,Ridge,operational
day_sin,0.1608361520519591,Ridge,operational
Product ID_P0019,0.15573780009342617,Ridge,operational
lag_7_sales,0.13318835365043788,Ridge,operational
Weather Condition_Cloudy,0.12868976775601537,Ridge,operational
Region_West,0.12250616465256262,Ridge,operational
Category_Toys,0.11888379637554986,Ridge,operational
Category_Groceries,0.10415062304484869,Ridge,operational
lag_30_sales,0.08092637994715064,Ridge,operational
Category_Furniture,0.06247546334538044,Ridge,operational
dow_cos,0.05690315662255841,Ridge,operational
Seasonality_Summer,0.02600917039809922,Ridge,operational
Product ID_P0012,0.024507724732707795,Ridge,operational
Product ID_P0001,0.023906817126304172,Ridge,operational
Inventory Level,0.7639630055344688,Random Forest,operational
ma_30_sales,0.01702528353172855,Random Forest,operational
price_to_competitor,0.016946510381956794,Random Forest,operational
lag_1_sales,0.016599910192125443,Random Forest,operational
lag_7_sales,0.01651521765577772,Random Forest,operational
std_7_sales,0.015666305526477808,Random Forest,operational
lag_30_sales,0.015220099685845642,Random Forest,operational
price_discount,0.014421022266155109,Random Forest,operational
day_cos,0.012462427431531609,Random Forest,operational
day_sin,0.011947349192586406,Random Forest,operational
inventory_to_ma7,0.01127490936628392,Random Forest,operational
Competitor Pricing,0.010966666913288015,Random Forest,operational
ma_7_sales,0.010928006171726122,Random Forest,operational
Price,0.010011806802476124,Random Forest,operational
weekofyear,0.0050908117676650615,Random Forest,operational
dow_sin,0.00405375179469843,Random Forest,operational
day_of_week,0.0034090788443371695,Random Forest,operational
promo_discount,0.002717511707899186,Random Forest,operational
dow_cos,0.0024802155762541846,Random Forest,operational
Discount,0.0019639802445147432,Random Forest,operational
discount_rate,0.0018814477498695205,Random Forest,operational
month_cos,0.0015087812372474065,Random Forest,operational
Region_East,0.0013527854538454309,Random Forest,operational
Weather Condition_Cloudy,0.0013483683537459535,Random Forest,operational
Holiday/Promotion,0.0012961092464167095,Random Forest,operational
month_sin,0.0012515714468785083,Random Forest,operational
Weather Condition_Snowy,0.0012384162700350883,Random Forest,operational
month,0.0012048093201660621,Random Forest,operational
Weather Condition_Rainy,0.001128930098245748,Random Forest,operational
Seasonality_Spring,0.0010851947849594484,Random Forest,operational
Seasonality_Autumn,0.0010718957002058063,Random Forest,operational
Region_North,0.0010689936369742432,Random Forest,operational
Store ID_S005,0.001045298377261864,Random Forest,operational
Category_Electronics,0.0010327367780376552,Random Forest,operational
Seasonality_Summer,0.0010267167169301862,Random Forest,operational
Region_South,0.0010144989621319088,Random Forest,operational
Store ID_S004,0.0010129567028066815,Random Forest,operational
Category_Furniture,0.0009788783552367327,Random Forest,operational
Weather Condition_Sunny,0.0009756572300981199,Random Forest,operational
Seasonality_Winter,0.0009652042157611968,Random Forest,operational
Store ID_S001,0.0009608683799272946,Random Forest,operational
Store ID_S002,0.0009552344739621431,Random Forest,operational
Category_Groceries,0.0009104505849487522,Random Forest,operational
Region_West,0.0009031540144083886,Random Forest,operational
Category_Toys,0.000852171250882826,Random Forest,operational
Store ID_S003,0.0008282123307719751,Random Forest,operational
Category_Clothing,0.0008271372589977137,Random Forest,operational
Product ID_P0011,0.0004965709180989812,Random Forest,operational
Product ID_P0007,0.0004898683914474527,Random Forest,operational
Product ID_P0010,0.000419437155195055,Random Forest,operational
Product ID_P0009,0.0003926471000107141,Random Forest,operational
Product ID_P0013,0.0003820617998594477,Random Forest,operational
Product ID_P0012,0.000380405329557462,Random Forest,operational
Product ID_P0019,0.0003755416498657625,Random Forest,operational
Product ID_P0004,0.0003692136971852731,Random Forest,operational
Product ID_P0002,0.00032960128719189137,Random Forest,operational
Product ID_P0008,0.00032164698417220616,Random Forest,operational
Product ID_P0020,0.00029978803904571544,Random Forest,operational
Product ID_P0018,0.0002970134277507736,Random Forest,operational
Product ID_P0015,0.00028575020001694813,Random Forest,operational
Product ID_P0001,0.0002848062376158939,Random Forest,operational
Product ID_P0003,0.00028264349688172843,Random Forest,operational
Product ID_P0005,0.00027868003705585167,Random Forest,operational
Product ID_P0014,0.0002731244021819219,Random Forest,operational
Product ID_P0016,0.00022788114761192307,Random Forest,operational
Product ID_P0017,0.00022608993341179318,Random Forest,operational
Product ID_P0006,0.0001968792472932694,Random Forest,operational
Inventory Level,0.12884722650051117,XGBoost,operational
inventory_to_ma7,0.05031507462263107,XGBoost,operational
ma_7_sales,0.02183367870748043,XGBoost,operational
Product ID_P0007,0.015680618584156036,XGBoost,operational
Product ID_P0011,0.01549000758677721,XGBoost,operational
Product ID_P0015,0.01454444695264101,XGBoost,operational
promo_discount,0.01448197290301323,XGBoost,operational
month_sin,0.014406189322471619,XGBoost,operational
Product ID_P0014,0.014358555898070335,XGBoost,operational
price_discount,0.014314823783934116,XGBoost,operational
ma_30_sales,0.014235763810575008,XGBoost,operational
Category_Furniture,0.013942927122116089,XGBoost,operational
Product ID_P0019,0.01388689037412405,XGBoost,operational
Region_North,0.01386118121445179,XGBoost,operational
month_cos,0.01385513599961996,XGBoost,operational
Product ID_P0003,0.013759948313236237,XGBoost,operational
Product ID_P0012,0.013628433458507061,XGBoost,operational
Product ID_P0002,0.013530135154724121,XGBoost,operational
lag_1_sales,0.013517347164452076,XGBoost,operational
Region_East,0.013396350666880608,XGBoost,operational
std_7_sales,0.013302115723490715,XGBoost,operational
Product ID_P0013,0.013239427469670773,XGBoost,operational
Seasonality_Autumn,0.013210744597017765,XGBoost,operational
Store ID_S001,0.01318406406790018,XGBoost,operational
Product ID_P0010,0.01313609629869461,XGBoost,operational
price_to_competitor,0.013115527108311653,XGBoost,operational
Product ID_P0004,0.013026745989918709,XGBoost,operational
Category_Electronics,0.012994896620512009,XGBoost,operational
lag_7_sales,0.012974005192518234,XGBoost,operational
Product ID_P0001,0.012934721074998379,XGBoost,operational
Weather Condition_Rainy,0.012918833643198013,XGBoost,operational
Store ID_S005,0.012901290319859982,XGBoost,operational
Product ID_P0008,0.01283325720578432,XGBoost,operational
Category_Groceries,0.01282897125929594,XGBoost,operational
